"hw.number","mean.var","max.var","min.var","length","end.date","start.date","start.doy","start.month","days.above.abs.thresh.1","days.above.abs.thresh.2","days.above.abs.thresh.3","days.above.abs.thresh.4","days.above.99th","days.above.99.5th","first.in.year","threshold","mean.var.quantile","max.var.quantile","min.var.quantile","mean.yearround.var","mean.seasonal.var","city"
1,307.068333333333,312.35,302.76,12,2070-06-22,2070-06-11,161,6,12,12,9,4,4,1,1,302.1802,0.973424657534247,0.999452054794521,0.912602739726027,287.168723287671,297.554954248366,"balt"
2,305.613333333333,307.8,303.56,9,2070-07-05,2070-06-27,177,6,9,9,5,0,0,0,0,302.1802,0.957534246575342,0.979178082191781,0.927945205479452,287.168723287671,297.554954248366,"balt"
3,303,303.39,302.61,2,2070-07-14,2070-07-13,193,7,2,2,0,0,0,0,0,302.1802,0.915616438356164,0.924657534246575,0.910958904109589,287.168723287671,297.554954248366,"balt"
4,307.5035,313.83,303.09,20,2070-08-08,2070-07-20,200,7,20,20,14,9,7,4,0,302.1802,0.976712328767123,1,0.918356164383562,287.168723287671,297.554954248366,"balt"
5,304.538,309.12,302.38,5,2070-08-14,2070-08-10,221,8,5,3,2,1,1,0,0,302.1802,0.942739726027397,0.990684931506849,0.906301369863014,287.168723287671,297.554954248366,"balt"
6,303.256666666667,303.43,302.92,3,2070-08-18,2070-08-16,227,8,3,3,0,0,0,0,0,302.1802,0.92,0.926027397260274,0.914794520547945,287.168723287671,297.554954248366,"balt"
7,302.78,303.26,302.3,2,2071-07-04,2071-07-03,183,7,2,1,0,0,0,0,1,302.1802,0.912876712328767,0.920821917808219,0.904931506849315,287.168723287671,297.554954248366,"balt"
8,308.8025,311.29,304.08,8,2071-07-20,2071-07-13,193,7,8,8,6,6,5,4,0,302.1802,0.988219178082192,0.998630136986301,0.936164383561644,287.168723287671,297.554954248366,"balt"
9,304.775,305.1,304.45,2,2071-08-07,2071-08-06,217,8,2,2,0,0,0,0,0,302.1802,0.948493150684931,0.95041095890411,0.941917808219178,287.168723287671,297.554954248366,"balt"
10,304.10875,306.49,302.29,8,2071-09-05,2071-08-29,240,8,8,7,1,0,0,0,0,302.1802,0.936438356164384,0.967123287671233,0.904657534246575,287.168723287671,297.554954248366,"balt"
11,303.585,304.63,302.54,2,2071-09-13,2071-09-12,254,9,2,1,0,0,0,0,0,302.1802,0.928493150684932,0.945753424657534,0.90958904109589,287.168723287671,297.554954248366,"balt"
12,304.076,305.58,303.02,5,2071-10-04,2071-09-30,272,9,5,5,1,0,0,0,0,302.1802,0.935890410958904,0.957534246575342,0.916438356164384,287.168723287671,297.554954248366,"balt"
13,303.245,303.43,303.06,2,2072-08-26,2072-08-25,237,8,2,2,0,0,0,0,1,302.1802,0.91972602739726,0.926027397260274,0.917534246575342,287.168723287671,297.554954248366,"balt"
14,304.695,306.99,302.4,2,2073-06-28,2073-06-27,177,6,2,1,1,0,0,0,1,302.1802,0.946849315068493,0.973150684931507,0.907397260273973,287.168723287671,297.554954248366,"balt"
15,304.65,304.71,304.59,2,2073-07-18,2073-07-17,197,7,2,2,0,0,0,0,0,302.1802,0.946575342465753,0.947671232876712,0.944383561643836,287.168723287671,297.554954248366,"balt"
16,307.558333333333,310.02,303.58,12,2073-07-31,2073-07-20,200,7,12,12,10,6,3,1,0,302.1802,0.976712328767123,0.995616438356164,0.928493150684932,287.168723287671,297.554954248366,"balt"
17,306.41380952381,309.39,302.56,21,2073-08-30,2073-08-10,221,8,21,20,14,6,1,0,0,302.1802,0.966575342465753,0.991232876712329,0.90986301369863,287.168723287671,297.554954248366,"balt"
18,307.284705882353,311.73,302.24,17,2074-07-22,2074-07-06,186,7,17,16,13,7,5,2,1,302.1802,0.975616438356164,0.999178082191781,0.903013698630137,287.168723287671,297.554954248366,"balt"
19,306.775,308.02,305.53,2,2074-07-30,2074-07-29,209,7,2,2,2,0,0,0,0,302.1802,0.97013698630137,0.980821917808219,0.955890410958904,287.168723287671,297.554954248366,"balt"
20,307.53,309.98,304.02,6,2074-08-17,2074-08-12,223,8,6,6,5,3,1,1,0,302.1802,0.976712328767123,0.995342465753425,0.935068493150685,287.168723287671,297.554954248366,"balt"
21,303.98,305.13,302.83,2,2075-05-16,2075-05-15,134,5,2,2,0,0,0,0,1,302.1802,0.934246575342466,0.950684931506849,0.913698630136986,287.168723287671,297.554954248366,"balt"
22,304.11,306.77,302.26,3,2075-05-23,2075-05-21,140,5,3,2,1,0,0,0,0,302.1802,0.937260273972603,0.97013698630137,0.903561643835616,287.168723287671,297.554954248366,"balt"
23,304.596666666667,306.63,302.81,3,2075-07-07,2075-07-05,185,7,3,3,1,0,0,0,0,302.1802,0.944383561643836,0.969041095890411,0.913150684931507,287.168723287671,297.554954248366,"balt"
24,306.116,310.22,302.57,10,2075-07-21,2075-07-12,192,7,10,9,7,2,1,1,0,302.1802,0.964109589041096,0.996164383561644,0.91013698630137,287.168723287671,297.554954248366,"balt"
25,305.705,308.05,303.51,4,2075-07-28,2075-07-25,205,7,4,4,2,0,0,0,0,302.1802,0.958356164383562,0.981643835616438,0.926849315068493,287.168723287671,297.554954248366,"balt"
26,305.965,306.55,305.38,2,2075-08-05,2075-08-04,215,8,2,2,2,0,0,0,0,302.1802,0.961917808219178,0.968493150684931,0.952876712328767,287.168723287671,297.554954248366,"balt"
27,305.117142857143,307.86,302.53,14,2075-08-23,2075-08-10,221,8,14,13,6,0,0,0,0,302.1802,0.95041095890411,0.97972602739726,0.909315068493151,287.168723287671,297.554954248366,"balt"
28,305.671428571429,307.39,303.68,7,2075-09-15,2075-09-09,251,9,7,7,4,0,0,0,0,302.1802,0.958082191780822,0.976712328767123,0.92986301369863,287.168723287671,297.554954248366,"balt"
29,303.52,303.99,303.05,2,2076-05-31,2076-05-30,150,5,2,2,0,0,0,0,1,302.1802,0.926849315068493,0.934520547945205,0.917260273972603,287.168723287671,297.554954248366,"balt"
30,306.573333333333,308.06,303.97,3,2076-06-07,2076-06-05,156,6,3,3,2,0,0,0,0,302.1802,0.968493150684931,0.982191780821918,0.934246575342466,287.168723287671,297.554954248366,"balt"
31,305.4475,308.51,304.01,8,2076-07-07,2076-06-30,181,6,8,8,3,1,0,0,0,302.1802,0.954520547945205,0.985479452054794,0.934794520547945,287.168723287671,297.554954248366,"balt"
32,303.74,304.45,302.7,3,2076-07-23,2076-07-21,202,7,3,3,0,0,0,0,0,302.1802,0.93041095890411,0.941917808219178,0.911780821917808,287.168723287671,297.554954248366,"balt"
33,303.375,303.39,303.36,2,2076-08-02,2076-08-01,213,8,2,2,0,0,0,0,0,302.1802,0.923287671232877,0.924657534246575,0.923287671232877,287.168723287671,297.554954248366,"balt"
34,307.2425,308.87,306.54,4,2076-08-18,2076-08-15,227,8,4,4,4,1,0,0,0,302.1802,0.975342465753425,0.989041095890411,0.967945205479452,287.168723287671,297.554954248366,"balt"
