"hw.number","mean.var","max.var","min.var","length","end.date","start.date","start.doy","start.month","days.above.abs.thresh.1","days.above.abs.thresh.2","days.above.abs.thresh.3","days.above.abs.thresh.4","days.above.99th","days.above.99.5th","first.in.year","threshold","mean.var.quantile","max.var.quantile","min.var.quantile","mean.yearround.var","mean.seasonal.var","city"
1,302.52,302.57,302.47,2,2070-06-04,2070-06-03,153,6,2,0,0,0,0,0,1,301.4408,0.889315068493151,0.892876712328767,0.887671232876712,290.801610958904,299.871843137255,"balt"
2,302.145,302.56,301.73,2,2070-06-11,2070-06-10,160,6,2,0,0,0,0,0,0,301.4408,0.872328767123288,0.892328767123288,0.84958904109589,290.801610958904,299.871843137255,"balt"
3,302.643333333333,303.34,301.65,3,2070-06-19,2070-06-17,167,6,3,2,0,0,0,0,0,301.4408,0.896712328767123,0.92958904109589,0.846301369863014,290.801610958904,299.871843137255,"balt"
4,302.535,302.79,302.28,2,2070-06-30,2070-06-29,179,6,2,1,0,0,0,0,0,301.4408,0.89041095890411,0.906575342465753,0.878904109589041,290.801610958904,299.871843137255,"balt"
5,303.423846153846,306.72,301.65,13,2070-07-16,2070-07-04,184,7,13,9,1,0,1,1,0,301.4408,0.932328767123288,0.995890410958904,0.846301369863014,290.801610958904,299.871843137255,"balt"
6,302.644,304.01,301.57,10,2070-07-27,2070-07-18,198,7,10,5,0,0,0,0,0,301.4408,0.896712328767123,0.952602739726027,0.840821917808219,290.801610958904,299.871843137255,"balt"
7,303.478461538462,306.39,301.89,13,2070-08-13,2070-08-01,212,8,13,9,2,0,1,0,0,301.4408,0.935068493150685,0.993972602739726,0.859452054794521,290.801610958904,299.871843137255,"balt"
8,301.805,301.85,301.76,2,2070-08-16,2070-08-15,226,8,2,0,0,0,0,0,0,301.4408,0.853150684931507,0.856438356164384,0.851506849315068,290.801610958904,299.871843137255,"balt"
9,305.33125,306.81,301.74,8,2070-08-25,2070-08-18,229,8,8,7,5,0,3,1,0,301.4408,0.983013698630137,0.996712328767123,0.850958904109589,290.801610958904,299.871843137255,"balt"
10,301.976666666667,302.31,301.51,3,2070-09-25,2070-09-23,265,9,3,0,0,0,0,0,0,301.4408,0.861917808219178,0.88,0.837260273972603,290.801610958904,299.871843137255,"balt"
