"V400","V401","V402"
275.74,282.32,285.03
275.94,283.14,285.47
272.9,280.26,284.6
273.61,280.82,284.67
273.97,281.18,284.83
273.06,280.88,284.82
270.87,279.88,284.47
268.93,279.06,284.19
270.44,279.44,284.37
272.23,280.96,284.74
275.9,282.28,284.66
277.31,282.69,284.87
278.38,284.15,284.99
268.62,279.74,284.32
255.56,274.43,283.09
255.63,275.95,283.12
276.56,283.43,284.77
275.93,283.42,284.83
267.76,278.33,283.58
268.54,278.68,283.58
257.16,273.97,282.64
258.76,273.64,282.26
268.55,278.37,283.29
268.66,278.55,283.16
270.01,280.18,283.66
255.2,272.91,281.86
254.82,272.61,281.77
258.06,274.25,282.05
268.48,278.1,282.66
273.05,279.95,282.98
265.27,276.76,282.25
265.26,276.38,282.03
260.87,275.24,281.88
255,273.86,281.55
258.3,275.29,281.56
273.19,280.45,282.76
269.54,278.66,282.35
270.32,278.82,282.13
268.23,277.75,282.05
257.1,273.94,281.19
258.73,274.71,281.21
264.59,276.96,281.65
265.8,277.08,281.52
270.59,277.52,281.32
268.39,277.43,281.18
266.57,276.15,280.85
269.89,277.21,281.05
274.45,279.74,281.84
272.91,278.75,281.53
272.96,278.38,281.38
273.34,278.43,281.32
270.4,277.39,281.06
271.04,277.58,280.94
274.47,279.64,281.56
275.96,279.97,281.49
276.66,280.91,281.84
274.84,280.73,282.12
273.22,278.76,281.56
275.09,278.88,281.33
271.2,279.7,281.9
263.39,274.27,280.46
267.55,276.2,280.71
274.79,279.71,281.57
276.52,280.3,281.83
273.95,278.47,281.22
285.12,283.74,282.31
278.38,281.51,282.04
278.03,280.54,281.65
286.07,284.93,282.78
288.03,285.36,282.95
275.56,280.73,282.3
271.93,278.24,281.53
274.04,279.27,281.71
275.72,280.3,282.05
276.69,280.38,281.91
284.52,283.79,282.7
288.76,285.79,283.1
270.86,281.24,282.85
264.58,275.11,281.05
270.68,278.05,281.97
277.71,281.69,282.51
275.37,280.27,282.25
278.78,280.57,282.13
276.67,280.9,282.33
280.13,281.27,282.25
287.26,284.85,282.85
289.54,287.02,283.55
290.6,287.26,283.77
286.58,285.01,283.33
287.98,286.07,283.72
284.66,285.65,283.85
284.65,285.15,283.74
285.17,285.62,284.05
280.06,284.29,284.2
278.78,283.51,284
281.57,284.57,284.12
281.45,283.97,284.07
284.59,286.08,284.67
279.32,283.82,284.53
277.17,281.88,284.15
278.55,282.5,284.04
278.14,282.47,283.66
279.4,283.53,283.75
281.43,284.18,283.84
281.74,283.88,283.79
283.55,284.48,283.73
