"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
1,84.407,85.136,83.6780000000001,2,2070-06-05,2070-06-06,155,6,2,1,0,0,0,0,1,82.92344,0.866575342465753,0.885205479452055,0.846849315068493,63.9747265753425,80.2495647058823,"balt"
2,85.7732,86.99,84.4700000000001,5,2070-06-15,2070-06-19,165,6,5,4,0,0,0,0,0,82.92344,0.903287671232877,0.93041095890411,0.867671232876712,63.9747265753425,80.2495647058823,"balt"
3,85.361,85.9280000000001,84.794,2,2070-06-30,2070-07-01,180,6,2,1,0,0,0,0,0,82.92344,0.891780821917808,0.907945205479452,0.877260273972603,63.9747265753425,80.2495647058823,"balt"
4,85.1684,85.892,84.128,5,2070-07-03,2070-07-07,183,7,5,3,0,0,0,0,0,82.92344,0.885479452054795,0.906575342465753,0.856712328767123,63.9747265753425,80.2495647058823,"balt"
5,83.669,83.6780000000001,83.66,2,2070-07-10,2070-07-11,190,7,2,0,0,0,0,0,0,82.92344,0.845479452054794,0.846849315068493,0.845479452054794,63.9747265753425,80.2495647058823,"balt"
6,86.6433714285714,91.256,83.03,35,2070-07-13,2070-08-16,193,7,35,27,3,0,0,0,0,82.92344,0.921369863013699,0.988767123287671,0.83013698630137,63.9747265753425,80.2495647058823,"balt"
7,84.608,85.748,83.5159999999999,6,2070-08-20,2070-08-25,231,8,6,2,0,0,0,0,0,82.92344,0.871780821917808,0.902739726027397,0.841369863013699,63.9747265753425,80.2495647058823,"balt"
8,83.381,83.624,83.138,2,2070-09-02,2070-09-03,244,9,2,0,0,0,0,0,0,82.92344,0.838904109589041,0.844383561643836,0.833972602739726,63.9747265753425,80.2495647058823,"balt"
9,83.5699999999999,83.7319999999999,83.408,2,2070-09-14,2070-09-15,256,9,2,0,0,0,0,0,0,82.92344,0.842191780821918,0.847671232876712,0.83972602739726,63.9747265753425,80.2495647058823,"balt"
10,84.7472,86.432,84.038,5,2071-06-15,2071-06-19,165,6,5,1,0,0,0,0,1,82.92344,0.874794520547945,0.916164383561644,0.855068493150685,63.9747265753425,80.2495647058823,"balt"
11,85.6255999999999,86.7739999999999,83.57,5,2071-06-21,2071-06-25,171,6,5,4,0,0,0,0,0,82.92344,0.897808219178082,0.924657534246575,0.843287671232877,63.9747265753425,80.2495647058823,"balt"
12,89.078,90.122,87.6200000000001,3,2071-06-27,2071-06-29,177,6,3,3,1,0,0,0,0,82.92344,0.96958904109589,0.978082191780822,0.943561643835616,63.9747265753425,80.2495647058823,"balt"
13,86.5940000000001,87.9260000000001,85.262,2,2071-07-01,2071-07-02,181,7,2,2,0,0,0,0,0,82.92344,0.921369863013699,0.950684931506849,0.887945205479452,63.9747265753425,80.2495647058823,"balt"
14,85.658,87.4760000000001,84.218,5,2071-07-08,2071-07-12,188,7,5,3,0,0,0,0,0,82.92344,0.899452054794521,0.940821917808219,0.85972602739726,63.9747265753425,80.2495647058823,"balt"
15,87.656,93.344,83.93,12,2071-07-14,2071-07-25,194,7,12,10,2,0,1,1,0,82.92344,0.943835616438356,0.995068493150685,0.851780821917808,63.9747265753425,80.2495647058823,"balt"
