"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
1,93.053,102.56,85.2980000000001,12,2070-06-11,2070-06-22,161,6,12,12,9,4,4,1,1,84.25436,0.973424657534247,0.999452054794521,0.912602739726027,57.2337019178082,75.9289176470588,"balt"
2,90.434,94.3700000000001,86.738,9,2070-06-27,2070-07-05,177,6,9,9,5,0,0,0,0,84.25436,0.957534246575342,0.979178082191781,0.927945205479452,57.2337019178082,75.9289176470588,"balt"
3,85.73,86.432,85.0280000000001,2,2070-07-13,2070-07-14,193,7,2,2,0,0,0,0,0,84.25436,0.915616438356164,0.924657534246575,0.910958904109589,57.2337019178082,75.9289176470588,"balt"
4,93.8363,105.224,85.892,20,2070-07-20,2070-08-08,200,7,20,20,14,9,7,4,0,84.25436,0.976712328767123,1,0.918356164383562,57.2337019178082,75.9289176470588,"balt"
5,88.4984,96.7459999999999,84.614,5,2070-08-10,2070-08-14,221,8,5,3,2,1,1,0,0,84.25436,0.942739726027397,0.990684931506849,0.906301369863014,57.2337019178082,75.9289176470588,"balt"
6,86.192,86.504,85.5860000000001,3,2070-08-16,2070-08-18,227,8,3,3,0,0,0,0,0,84.25436,0.92,0.926027397260274,0.914794520547945,57.2337019178082,75.9289176470588,"balt"
7,85.3340000000001,86.198,84.4700000000001,2,2071-07-03,2071-07-04,183,7,2,1,0,0,0,0,1,84.25436,0.912876712328767,0.920821917808219,0.904931506849315,57.2337019178082,75.9289176470588,"balt"
8,96.1745,100.652,87.6739999999999,8,2071-07-13,2071-07-20,193,7,8,8,6,6,5,4,0,84.25436,0.988219178082192,0.998630136986301,0.936164383561644,57.2337019178082,75.9289176470588,"balt"
9,88.925,89.51,88.34,2,2071-08-06,2071-08-07,217,8,2,2,0,0,0,0,0,84.25436,0.948493150684931,0.95041095890411,0.941917808219178,57.2337019178082,75.9289176470588,"balt"
10,87.72575,92.012,84.4520000000001,8,2071-08-29,2071-09-05,240,8,8,7,1,0,0,0,0,84.25436,0.936438356164384,0.967123287671233,0.904657534246575,57.2337019178082,75.9289176470588,"balt"
11,86.783,88.664,84.902,2,2071-09-12,2071-09-13,254,9,2,1,0,0,0,0,0,84.25436,0.928493150684932,0.945753424657534,0.90958904109589,57.2337019178082,75.9289176470588,"balt"
12,87.6668,90.374,85.7659999999999,5,2071-09-30,2071-10-04,272,9,5,5,1,0,0,0,0,84.25436,0.935890410958904,0.957534246575342,0.916438356164384,57.2337019178082,75.9289176470588,"balt"
13,86.171,86.504,85.838,2,2072-08-25,2072-08-26,237,8,2,2,0,0,0,0,1,84.25436,0.91972602739726,0.926027397260274,0.917534246575342,57.2337019178082,75.9289176470588,"balt"
14,88.7809999999999,92.912,84.6499999999999,2,2073-06-27,2073-06-28,177,6,2,1,1,0,0,0,1,84.25436,0.946849315068493,0.973150684931507,0.907397260273973,57.2337019178082,75.9289176470588,"balt"
15,88.6999999999999,88.8079999999999,88.5919999999999,2,2073-07-17,2073-07-18,197,7,2,2,0,0,0,0,0,84.25436,0.946575342465753,0.947671232876712,0.944383561643836,57.2337019178082,75.9289176470588,"balt"
16,93.935,98.3659999999999,86.7739999999999,12,2073-07-20,2073-07-31,200,7,12,12,10,6,3,1,0,84.25436,0.976712328767123,0.995616438356164,0.928493150684932,57.2337019178082,75.9289176470588,"balt"
17,91.8748571428571,97.2319999999999,84.9379999999999,21,2073-08-10,2073-08-30,221,8,21,20,14,6,1,0,0,84.25436,0.966575342465753,0.991232876712329,0.90986301369863,57.2337019178082,75.9289176470588,"balt"
18,93.4424705882353,101.444,84.3619999999999,17,2074-07-06,2074-07-22,186,7,17,16,13,7,5,2,1,84.25436,0.975616438356164,0.999178082191781,0.903013698630137,57.2337019178082,75.9289176470588,"balt"
19,92.5249999999999,94.7659999999999,90.2839999999999,2,2074-07-29,2074-07-30,209,7,2,2,2,0,0,0,0,84.25436,0.97013698630137,0.980821917808219,0.955890410958904,57.2337019178082,75.9289176470588,"balt"
20,93.884,98.294,87.566,6,2074-08-12,2074-08-17,223,8,6,6,5,3,1,1,0,84.25436,0.976712328767123,0.995342465753425,0.935068493150685,57.2337019178082,75.9289176470588,"balt"
21,87.494,89.564,85.4239999999999,2,2075-05-15,2075-05-16,134,5,2,2,0,0,0,0,1,84.25436,0.934246575342466,0.950684931506849,0.913698630136986,57.2337019178082,75.9289176470588,"balt"
22,87.728,92.5159999999999,84.398,3,2075-05-21,2075-05-23,140,5,3,2,1,0,0,0,0,84.25436,0.936438356164384,0.97013698630137,0.903561643835616,57.2337019178082,75.9289176470588,"balt"
23,88.604,92.264,85.388,3,2075-07-05,2075-07-07,185,7,3,3,1,0,0,0,0,84.25436,0.944383561643836,0.969041095890411,0.913150684931507,57.2337019178082,75.9289176470588,"balt"
24,91.3388,98.7260000000001,84.956,10,2075-07-12,2075-07-21,192,7,10,9,7,2,1,1,0,84.25436,0.964109589041096,0.996164383561644,0.91013698630137,57.2337019178082,75.9289176470588,"balt"
25,90.599,94.82,86.648,4,2075-07-25,2075-07-28,205,7,4,4,2,0,0,0,0,84.25436,0.958356164383562,0.981643835616438,0.926849315068493,57.2337019178082,75.9289176470588,"balt"
26,91.067,92.1200000000001,90.014,2,2075-08-04,2075-08-05,215,8,2,2,2,0,0,0,0,84.25436,0.961917808219178,0.968493150684931,0.952876712328767,57.2337019178082,75.9289176470588,"balt"
27,89.5408571428571,94.478,84.8839999999998,14,2075-08-10,2075-08-23,221,8,14,13,6,0,0,0,0,84.25436,0.95041095890411,0.97972602739726,0.909315068493151,57.2337019178082,75.9289176470588,"balt"
28,90.5385714285714,93.6319999999999,86.954,7,2075-09-09,2075-09-15,251,9,7,7,4,0,0,0,0,84.25436,0.958082191780822,0.976712328767123,0.92986301369863,57.2337019178082,75.9289176470588,"balt"
29,86.666,87.512,85.82,2,2076-05-30,2076-05-31,150,5,2,2,0,0,0,0,1,84.25436,0.926849315068493,0.934520547945205,0.917260273972603,57.2337019178082,75.9289176470588,"balt"
30,92.162,94.838,87.4760000000001,3,2076-06-05,2076-06-07,156,6,3,3,2,0,0,0,0,84.25436,0.968493150684931,0.982191780821918,0.934246575342466,57.2337019178082,75.9289176470588,"balt"
31,90.1355,95.648,87.5480000000001,8,2076-06-30,2076-07-07,181,6,8,8,3,1,0,0,0,84.25436,0.954520547945205,0.985479452054794,0.934794520547945,57.2337019178082,75.9289176470588,"balt"
32,87.062,88.34,85.1899999999999,3,2076-07-21,2076-07-23,202,7,3,3,0,0,0,0,0,84.25436,0.93041095890411,0.941917808219178,0.911780821917808,57.2337019178082,75.9289176470588,"balt"
33,86.405,86.432,86.378,2,2076-08-01,2076-08-02,213,8,2,2,0,0,0,0,0,84.25436,0.923287671232877,0.924657534246575,0.923287671232877,57.2337019178082,75.9289176470588,"balt"
34,93.3665,96.296,92.102,4,2076-08-15,2076-08-18,227,8,4,4,4,1,0,0,0,84.25436,0.975342465753425,0.989041095890411,0.967945205479452,57.2337019178082,75.9289176470588,"balt"
35,88.2769999999999,89.9239999999999,86.6299999999999,2,2077-05-24,2077-05-25,143,5,2,2,0,0,0,0,1,84.25436,0.941095890410959,0.952602739726027,0.926575342465753,57.2337019178082,75.9289176470588,"balt"
36,95.0719999999999,99.95,86.36,4,2077-06-05,2077-06-08,155,6,4,4,3,3,2,2,0,84.25436,0.983013698630137,0.997808219178082,0.922739726027397,57.2337019178082,75.9289176470588,"balt"
37,86.423,88.268,84.578,2,2077-06-23,2077-06-24,173,6,2,1,0,0,0,0,0,84.25436,0.923561643835616,0.941095890410959,0.906027397260274,57.2337019178082,75.9289176470588,"balt"
38,93.986,99.464,88.7899999999999,6,2077-07-05,2077-07-10,185,7,6,6,4,3,1,1,0,84.25436,0.976712328767123,0.996986301369863,0.947123287671233,57.2337019178082,75.9289176470588,"balt"
39,89.3705,93.056,84.5239999999999,4,2077-08-02,2077-08-05,213,8,4,3,2,0,0,0,0,84.25436,0.95013698630137,0.973698630136986,0.905479452054795,57.2337019178082,75.9289176470588,"balt"
40,93.4898,99.8419999999999,84.758,10,2077-08-08,2077-08-17,219,8,10,9,8,5,2,1,0,84.25436,0.975616438356164,0.997260273972603,0.908767123287671,57.2337019178082,75.9289176470588,"balt"
41,90.863,99.338,84.2899999999999,6,2077-08-20,2077-08-25,231,8,6,5,2,2,1,1,0,84.25436,0.960821917808219,0.996712328767123,0.902739726027397,57.2337019178082,75.9289176470588,"balt"
42,90.581,96.638,85.874,6,2077-08-29,2077-09-03,240,8,6,6,3,1,1,0,0,84.25436,0.958356164383562,0.99041095890411,0.918082191780822,57.2337019178082,75.9289176470588,"balt"
43,90.338,91.4179999999999,88.664,8,2077-09-18,2077-09-25,260,9,8,8,6,0,0,0,0,84.25436,0.955890410958904,0.964657534246575,0.945753424657534,57.2337019178082,75.9289176470588,"balt"
44,85.9519999999999,87.1879999999999,84.6499999999999,3,2077-09-27,2077-09-29,269,9,3,2,0,0,0,0,0,84.25436,0.918630136986301,0.931506849315068,0.907397260273973,57.2337019178082,75.9289176470588,"balt"
45,89.324,91.76,87.9619999999999,3,2078-06-19,2078-06-21,169,6,3,3,1,0,0,0,1,84.25436,0.94986301369863,0.966301369863014,0.938630136986301,57.2337019178082,75.9289176470588,"balt"
46,91.769,94.244,89.294,2,2078-07-11,2078-07-12,191,7,2,2,1,0,0,0,0,84.25436,0.966301369863014,0.978630136986301,0.94986301369863,57.2337019178082,75.9289176470588,"balt"
47,87.908,88.088,87.728,2,2078-07-31,2078-08-01,211,7,2,2,0,0,0,0,0,84.25436,0.938082191780822,0.94027397260274,0.937260273972603,57.2337019178082,75.9289176470588,"balt"
48,85.442,85.874,85.01,2,2078-08-10,2078-08-11,221,8,2,2,0,0,0,0,0,84.25436,0.913698630136986,0.918082191780822,0.910684931506849,57.2337019178082,75.9289176470588,"balt"
49,88.034,90.338,85.73,2,2078-08-13,2078-08-14,224,8,2,2,1,0,0,0,0,84.25436,0.94,0.956712328767123,0.915616438356164,57.2337019178082,75.9289176470588,"balt"
50,92.1308,95.5760000000001,90.3560000000001,5,2078-08-17,2078-08-21,228,8,5,5,5,1,0,0,0,84.25436,0.968493150684931,0.984931506849315,0.957260273972603,57.2337019178082,75.9289176470588,"balt"
51,85.883,86.9179999999999,84.6679999999999,4,2078-08-23,2078-08-26,234,8,4,3,0,0,0,0,0,84.25436,0.918082191780822,0.92958904109589,0.907671232876712,57.2337019178082,75.9289176470588,"balt"
52,87.0079999999999,88.0339999999999,85.9819999999999,2,2079-05-24,2079-05-25,143,5,2,2,0,0,0,0,1,84.25436,0.92986301369863,0.94,0.919178082191781,57.2337019178082,75.9289176470588,"balt"
53,92.5429999999999,94.802,90.2839999999999,2,2079-05-28,2079-05-29,147,5,2,2,2,0,0,0,0,84.25436,0.97013698630137,0.981095890410959,0.955890410958904,57.2337019178082,75.9289176470588,"balt"
54,89.4632,92.192,87.296,5,2079-06-08,2079-06-12,158,6,5,5,2,0,0,0,0,84.25436,0.95013698630137,0.968767123287671,0.932054794520548,57.2337019178082,75.9289176470588,"balt"
55,90.1465454545455,94.2260000000001,84.83,11,2079-07-13,2079-07-23,193,7,11,9,8,0,0,0,0,84.25436,0.954520547945205,0.978356164383562,0.909041095890411,57.2337019178082,75.9289176470588,"balt"
56,88.394,91.094,85.802,6,2079-07-29,2079-08-03,209,7,6,6,2,0,0,0,0,84.25436,0.942191780821918,0.962191780821918,0.916712328767123,57.2337019178082,75.9289176470588,"balt"
57,92.306,98.114,85.748,6,2079-08-08,2079-08-13,219,8,6,6,4,2,2,0,0,84.25436,0.969041095890411,0.994794520547945,0.915890410958904,57.2337019178082,75.9289176470588,"balt"
