"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
1,84.866,84.956,84.7760000000001,2,2070-06-03,2070-06-04,153,6,2,0,0,0,0,0,1,82.92344,0.889315068493151,0.892876712328767,0.887671232876712,63.7728997260274,80.0993176470588,"balt"
2,84.191,84.9379999999999,83.444,2,2070-06-10,2070-06-11,160,6,2,0,0,0,0,0,0,82.92344,0.872328767123288,0.892328767123288,0.84958904109589,63.7728997260274,80.0993176470588,"balt"
3,85.088,86.3419999999999,83.3,3,2070-06-17,2070-06-19,167,6,3,2,0,0,0,0,0,82.92344,0.896712328767123,0.92958904109589,0.846301369863014,63.7728997260274,80.0993176470588,"balt"
4,84.893,85.352,84.4339999999999,2,2070-06-29,2070-06-30,179,6,2,1,0,0,0,0,0,82.92344,0.89041095890411,0.906575342465753,0.878904109589041,63.7728997260274,80.0993176470588,"balt"
5,86.4929230769231,92.4260000000001,83.3,13,2070-07-04,2070-07-16,184,7,13,9,1,0,1,1,0,82.92344,0.932328767123288,0.995890410958904,0.846301369863014,63.7728997260274,80.0993176470588,"balt"
6,85.0892,87.5480000000001,83.156,10,2070-07-18,2070-07-27,198,7,10,5,0,0,0,0,0,82.92344,0.896712328767123,0.952602739726027,0.840821917808219,63.7728997260274,80.0993176470588,"balt"
7,86.5912307692307,91.8319999999999,83.7319999999999,13,2070-08-01,2070-08-13,212,8,13,9,2,0,1,0,0,82.92344,0.935068493150685,0.993972602739726,0.859452054794521,63.7728997260274,80.0993176470588,"balt"
8,83.579,83.66,83.498,2,2070-08-15,2070-08-16,226,8,2,0,0,0,0,0,0,82.92344,0.853150684931507,0.856438356164384,0.851506849315068,63.7728997260274,80.0993176470588,"balt"
9,89.92625,92.588,83.4619999999999,8,2070-08-18,2070-08-25,229,8,8,7,5,0,3,1,0,82.92344,0.983013698630137,0.996712328767123,0.850958904109589,63.7728997260274,80.0993176470588,"balt"
10,83.888,84.488,83.0480000000001,3,2070-09-23,2070-09-25,265,9,3,0,0,0,0,0,0,82.92344,0.861917808219178,0.88,0.837260273972603,63.7728997260274,80.0993176470588,"balt"
11,84.9405714285714,87.098,83.57,7,2071-06-07,2071-06-13,157,6,7,2,0,0,0,0,1,82.92344,0.892328767123288,0.945205479452055,0.853150684931507,63.7728997260274,80.0993176470588,"balt"
