"city","lat","long","lat_grid","long_grid","model"
"balt",39.3008,283.3894,40.464,284.06,"bcc1"
"ny",40.6698,286.0562,40.464,286.88,"bcc1"
"nwk",40.7241,285.8268,40.464,286.88,"bcc1"
"phil",40.006817,284.8653,40.464,284.06,"bcc1"
"prov",41.82195,288.5803,40.464,289.69,"bcc1"
"balt",39.3008,283.3894,40.464,284.06,"bcc1-a"
"ny",40.6698,286.0562,40.464,286.88,"bcc1-a"
"nwk",40.7241,285.8268,40.464,286.88,"bcc1-a"
"phil",40.006817,284.8653,40.464,284.06,"bcc1-a"
"prov",41.82195,288.5803,40.464,289.69,"bcc1-a"
