city,county,statename,fips,SSP3,SSP5
birm,Jefferson County,Alabama,1073,808850,1458768
mobi,Mobile County,Alabama,1097,468704,843380
phoe,Maricopa County,Arizona,4013,3820402,6784793
tucs,Pima County,Arizona,4019,971715,1760343
ltrk,Pulaski County,Arkansas,5119,427433,763561
oakl,Alameda County,California,6001,1771138,3096896
fres,Fresno County,California,6019,891401,1630784
bake,Kern County,California,6029,755850,1396393
la,Los Angeles County,California,6037,11811284,20802039
staa,Orange County,California,6059,3502997,6153414
rive,Riverside County,California,6065,1802213,3208211
sacr,Sacramento County,California,6067,1392074,2469566
sanb,San Bernardino County,California,6071,2042107,3673734
sand,San Diego County,California,6073,3403435,6000347
sanf,San Francisco County,California,6075,819890,1436263
stoc,San Joaquin County,California,6077,685234,1231255
sanj,Santa Clara County,California,6085,2117315,3738239
mode,Stanislaus County,California,6099,538555,974578
denv,Adams County,Colorado,8001,387883,687508
denv,Arapahoe County,Colorado,8005,571732,1009883
denv,Denver County,Colorado,8031,649905,1145095
colo,El Paso County,Colorado,8041,618590,1117835
dc,District of Columbia,District of Col,11001,793463,1396388
miam,Dade County (renamed Miami-Dade 12086),Florida,12025,2628754.333,4588163.667
jckv,Duval County,Florida,12031,922596,1580058
tamp,Hillsborough County,Florida,12057,1227790,2170123
orla,Orange County,Florida,12095,1148743,1997638
stpe,Pinellas County,Florida,12103,1069781,1867789
atla,DeKalb County,Georgia,13089,790069,1395298
atla,Fulton County,Georgia,13121,1096680,1946441
chic,Cook County,Illinois,17031,6370140,11150708
ftwa,Allen County,Indiana,18003,400951,720001
indi,Marion County,Indiana,18097,1054449,1858334
desm,Polk County,Iowa,19153,472245,837326
wich,Sedgwick County,Kansas,20173,544432,981057
loui,Jefferson County,Kentucky,21111,870892,1526620
shr,Bossier Parish,Louisiana,22015,110297,205226
shr,Caddo Parish,Louisiana,22017,279059,511837
batr,East Baton Rouge Parish,Louisiana,22033,515528,902129
no,Orleans Parish,Louisiana,22071,554419,940678
balt,Baltimore city,Maryland,24510,819231,1446166
bost,Suffolk County,Massachusetts,25025,883997,1538471
wor,Worcester County,Massachusetts,25027,842830,1577879
gdrp,Kent County,Michigan,26081,699444,1261938
det,Wayne County,Michigan,26163,2690819,4717478
minn,Hennepin County,Minnesota,27053,1386999,2392768
minn,Ramsey County,Minnesota,27123,583512,1004618
kan,Clay County,Missouri,29047,193950,350502
kan,Jackson County,Missouri,29095,871930,1542782
kan,Platte County,Missouri,29165,123038,223291
stlo,St. Louis city,Missouri,29510,384927,674357
oma,Douglas County,Nebraska,31055,494165,871163
lasv,Clark County,Nevada,32003,1691464,3007723
nwk,Essex County,New Jersey,34013,1072042,1889220
jers,Hudson County,New Jersey,34017,878748,1448068
albu,Bernalillo County,New Mexico,35001,671311,1170662
ny,Bronx County,New York,36005,2272588,3857157
buff,Erie County,New York,36029,1150082,2006120
ny,Kings County,New York,36047,2928605,5086780
roch,Monroe County,New York,36055,888050,1561533
ny,New York County,New York,36061,1214058,2082766
syra,Onondaga County,New York,36067,537830,964992
ny,Queens County,New York,36081,2683690,4705384
ny,Richmond County,New York,36085,415234,695549
ny,Westchester County,New York,36119,1034037,1770028
grnb,Guilford County,North Carolina,37081,501239,903850
char,Mecklenburg County,North Carolina,37119,849342,1499749
ral,Wake County,North Carolina,37183,754349,1354340
clev,Cuyahoga County,Ohio,39035,1676978,2898891
clmo,Franklin County,Ohio,39049,1299657,2293093
cinc,Hamilton County,Ohio,39061,1065523,1869992
tole,Lucas County,Ohio,39095,502420,879218
dayt,Montgomery County,Ohio,39113,686807,1223104
akr,Summit County,Ohio,39153,670335,1171547
okla,Oklahoma County,Oklahoma,40109,809086,1432184
tuls,Tulsa County,Oklahoma,40143,701393,1235169
port,Clackamas County,Oregon,41005,394576,711251
port,Multnomah County,Oregon,41051,857147,1491603
pitt,Allegheny County,Pennsylvania,42003,1566999,2743347
phil,Philadelphia County,Pennsylvania,42101,1815743,3136902
prov,Providence County,Rhode Island,44007,731581,1307517
nash,Davidson County,Tennessee,47037,710895,1243263
knox,Knox County,Tennessee,47093,463547,819611
memp,Shelby County,Tennessee,47157,1106555,1956333
sana,Bexar County,Texas,48029,1733272,3075396
dlft,Collin County,Texas,48085,522211,939969
dlft,Dallas County,Texas,48113,2900959,5088701
elpa,El Paso County,Texas,48141,798119,1425541
hous,Harris County,Texas,48201,4282537,7552659
corp,Nueces County,Texas,48355,371202,656482
dlft,Rockwall County,Texas,48397,38216,66527
dlft,Tarrant County,Texas,48439,1809861,3179303
aust,Travis County,Texas,48453,1004847,1792367
salt,Salt Lake County,Utah,49035,1109564,1947893
seat,King County,Washington,53033,2151723,3715510
taco,Pierce County,Washington,53053,819072,1467742
spok,Spokane County,Washington,53063,503269,901844
madi,Dane County,Wisconsin,55025,495169,873537
milw,Milwaukee County,Wisconsin,55079,1187198,2062160
